dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
11914,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,207,251"
11915,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,207,251"
11916,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,209,251"
11917,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,209,251"
11918,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,209,251"
11920,MEAN WELL,SPWM-75-24DA2,SPWM-75-24DA2,4711287510941,"101,102,207,251"
11921,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,207,251"
11922,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,207,251"
11923,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,209,251"
11924,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,209,251"
11925,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,209,251"
11927,MEAN WELL,SPWM-150-12DA2,SPWM-150-12DA2,4711287510972,"101,102,207,251"
11928,MEAN WELL,SPWM-150-24DA2,SPWM-150-24DA2,4711287510989,"101,102,207,251"
11929,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,207,251"
11930,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,207,251"
11931,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,209,251"
11932,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,209,251"
11933,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,209,251"
11935,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,207,251"
11936,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,207,251"
11937,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,209,251"
11938,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,209,251"
11939,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,209,251"
11941,MEAN WELL,SPWM-240-24DA2,SPWM-240-24DA2,4711287511016,"101,102,207,251"
11942,MEAN WELL,SPWM-240-48DA2,SPWM-240-48DA2,4711287511023,"101,102,207,251"
11943,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,207,251"
11944,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,207,251"
11945,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,209,251"
11946,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,209,251"
11947,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,209,251"
12044,Tridonic,DALI RM CWM 30 4A 1CH AC,28006053,9006210894942,"101,102,208"
12045,Tridonic,DALI RM CDM 30 12A 4CH,28006054,9006210894973,"101,102,208"
12046,Tridonic,DALI RM CDM 30 20A 4CH,28006055,9006210895000,"101,102,208"
12043,POWERLED,LT-40-24D POWERLED,90130900,6974487502606,"101,102,207"
